"","","Female"
"","Total_women_population","24,014,716"
"County","Sub-county","598,046"
"Mombasa","Changamwe","63,121"
"","Jomvu","80,410"
"","Kisauni","145,176"
"","Likoni","123,392"
"","Mvita","78,601"
"","Nyali","107,346"
"Kwale","","441,681"
"","Kinango","48,806"
"","Lungalunga","101,245"
"","Matuga","98,419"
"","Msambweni","88,480"
"","Samburu – Kwale","104,731"
"Kilifi","","749,673"
"","Chonyi","32,807"
"","Ganze","76,981"
"","Kaloleni","101,063"
"","Kauma","11,673"
"","Kilifi North","91,836"
"","Kilifi South","104,897"
"","Magarini","98,308"
"","Malindi","169,866"
"","Rabai","62,242"
"Tana River","","157,391"
"","Tana North","54,924"
"","Tana Delta","57,632"
"","Tana River","44,835"
"Lamu","","67,813"
"","Lamu East","10,583"
"","Lamu West","57,230"
"Taita / Taveta","","167,327"
"","Mwatate","40,231"
"","Taita","27,573"
"","Taveta","43,812"
"","Voi","55,711"
"Garissa","","382,344"
"","Balambala","11,979"
"","Dadaab","86,185"
"","Fafi","61,413"
"","Garissa","80,449"
"","Hulugho","55,898"
"","Ijara","61,129"
"","Lagdera","25,291"
"Wajir","","365,840"
"","Buna","23,088"
"","Eldas","43,759"
"","Habaswein","79,505"
"","Tarbaj","30,086"
"","Wajir East","51,292"
"","Wajir North","30,209"
"","Wajir South","51,864"
"","Wajir West","56,037"
"Mandera","","432,444"
"","Mandera West","50,130"
"","Banisa","74,288"
"","Kutulo","36,593"
"","Lafey","42,976"
"","Mandera Central","85,527"
"","Mandera East","76,095"
"","Mandera North","66,835"
"Marsabit","","216,219"
"","Loiyangala","18,051"
"","Marsabit Central","38,214"
"","Marsabit North","24,205"
"","Marsabit South","32,161"
"","Moyale","52,508"
"","North Horr","29,726"
"","Sololo","21,354"
"Isiolo","","128,483"
"","Garbatulla","45,068"
"","Isiolo","60,647"
"","Merti","22,768"
"Meru","","777,975"
"","Buuri East","38,497"
"","Buuri West","40,264"
"","Igembe Central","110,200"
"","Igembe North","85,949"
"","Igembe South","81,446"
"","Imenti North","89,056"
"","Imenti South","103,162"
"","Meru Central","66,894"
"","Tigania Central","52,916"
"","Tigania East","37,194"
"","Tigania West","72,241"
"","Meru National Park *","102"
"","Mt. Kenya Forest *","54"
"Tharaka – Nithi","","199,406"
"","Igambang'ombe","26,745"
"","Maara","57,205"
"","Meru South","46,155"
"","Tharaka North","30,053"
"","Tharaka South","39,058"
"","Mt. Kenya Forest *","190"
"Embu","","304,367"
"","Embu East","64,991"
"","Embu North","39,888"
"","Embu West","63,966"
"","Mbeere South","80,159"
"","Mbeere North","55,360"
"","Mt. Kenya Forest *","3"
"Kitui","","587,151"
"","Ikutha","42,976"
"","Katulani","23,957"
"","Kisasi","23,496"
"","Kitui Central","53,863"
"","Kitui West","36,983"
"","Kyuso","40,077"
"","Lower Yatta","31,628"
"","Matinyani","24,448"
"","Migwani","41,726"
"","Mumoni","15,596"
"","Mutitu","28,896"
"","Mutitu North","10,877"
"","Mutomo","58,531"
"","Mwingi Central","56,174"
"","Mwingi East","44,820"
"","Nzambani","23,857"
"","Thagicu","7,994"
"","Tseikuru","21,252"
"Machakos","","711,191"
"","Athi River","158,172"
"","Kalama","27,692"
"","Kangundo","49,219"
"","Kathiani","56,976"
"","Machakos","85,114"
"","Masinga","75,001"
"","Matungulu","80,407"
"","Mwala","91,466"
"","Yatta","87,144"
"Makueni","","497,942"
"","Kathonzweni","40,442"
"","Kibwezi","98,517"
"","Kilungu","31,932"
"","Makindu","42,742"
"","Makueni","64,955"
"","Mbooni East","49,601"
"","Mbooni West","53,159"
"","Mukaa","53,068"
"","Nzaui","63,526"
"Nyandarua","","323,247"
"","Kinangop","56,679"
"","Nyandarua South","47,708"
